contractor_id,contractor_name,registration_address,bank_account,director_name,registration_year,is_cartel_seed,cartel_cluster
CTR0018,Sharma Infra Pvt Ltd,"Shared Complex 4, Industrial Area",HDFC00104000018,Naresh Patel,2020,True,CLUSTER_4
CTR0019,Menon Construction Pvt Ltd,"Shared Complex 4, Industrial Area",HDFC00104000019,Naresh Patel,2019,True,CLUSTER_4
CTR0020,Sharma Builders Pvt Ltd,"Shared Complex 4, Industrial Area",HDFC00104000020,Naresh Patel,2022,True,CLUSTER_4
CTR0021,Verma Infra Pvt Ltd,"Shared Complex 5, Industrial Area",HDFC00105000021,Lakshmi Singh,2023,True,CLUSTER_5
CTR0022,Yadav Infra Pvt Ltd,"Shared Complex 5, Industrial Area",HDFC00105000022,Lakshmi Singh,2022,True,CLUSTER_5
CTR0023,Chauhan Builders Pvt Ltd,"Shared Complex 5, Industrial Area",HDFC00105000023,Lakshmi Singh,2019,True,CLUSTER_5
CTR0024,Rao Enterprises Pvt Ltd,"Shared Complex 5, Industrial Area",HDFC00105000024,Lakshmi Singh,2022,True,CLUSTER_5
CTR0025,Patel Construction Pvt Ltd,"541 Main Road, Sector 28",SBI7360590025,Pooja Reddy,2022,False,
CTR0026,Chauhan Builders Pvt Ltd,"731 Main Road, Sector 10",SBI5183730026,Lakshmi Rao,2016,False,
CTR0027,Yadav Projects Pvt Ltd,"463 Main Road, Sector 4",SBI3599470027,Kavita Verma,2015,False,
CTR0028,Sharma Projects Pvt Ltd,"568 Main Road, Sector 8",SBI7170240028,Kavita Sharma,2007,False,
CTR0029,Mishra Infra Pvt Ltd,"235 Main Road, Sector 3",SBI1329380029,Arvind Verma,2021,False,
CTR0030,Reddy Construction Pvt Ltd,"686 Main Road, Sector 16",SBI3246430030,Shalini Patel,2023,False,
CTR0031,Gupta Enterprises Pvt Ltd,"249 Main Road, Sector 26",SBI5959480031,Priya Verma,2018,False,
CTR0032,Iyer Enterprises Pvt Ltd,"421 Main Road, Sector 15",SBI8644910032,Suresh Rao,2008,False,
CTR0033,Sharma Enterprises Pvt Ltd,"746 Main Road, Sector 11",SBI9394820033,Priya Reddy,2011,False,
CTR0034,Reddy Projects Pvt Ltd,"460 Main Road, Sector 5",SBI5423740034,Sunita Nair,2019,False,
CTR0035,Reddy Infra Pvt Ltd,"454 Main Road, Sector 26",SBI9975460035,Shalini Verma,2006,False,
CTR0036,Rao Projects Pvt Ltd,"857 Main Road, Sector 1",SBI1977930036,Dinesh Joshi,2012,False,
CTR0037,Patel Enterprises Pvt Ltd,"498 Main Road, Sector 16",SBI3241300037,Sanjay Menon,2006,False,
CTR0038,Patel Enterprises Pvt Ltd,"3 Main Road, Sector 13",SBI3780850038,Ashok Nair,2018,False,
CTR0039,Mishra Projects Pvt Ltd,"678 Main Road, Sector 23",SBI6103110039,Vikram Reddy,2014,False,
CTR0040,Reddy Infra Pvt Ltd,"594 Main Road, Sector 24",SBI6685320040,Suresh Mishra,2015,False,
CTR0041,Sharma Infra Pvt Ltd,"599 Main Road, Sector 16",SBI6272760041,Vijay Patel,2006,False,
CTR0042,Kumar Infra Pvt Ltd,"872 Main Road, Sector 6",SBI1718490042,Geeta Verma,2012,False,
CTR0043,Singh Infra Pvt Ltd,"965 Main Road, Sector 29",SBI6973470043,Kavita Gupta,2006,False,
CTR0044,Gupta Infra Pvt Ltd,"430 Main Road, Sector 22",SBI7120240044,Ravi Kumar,2015,False,
CTR0045,Menon Construction Pvt Ltd,"210 Main Road, Sector 22",SBI8509810045,Arvind Reddy,2013,False,
CTR0046,Singh Builders Pvt Ltd,"688 Main Road, Sector 21",SBI4145690046,Ashok Iyer,2007,False,
CTR0047,Sharma Enterprises Pvt Ltd,"637 Main Road, Sector 19",SBI2048370047,Anita Kumar,2011,False,
CTR0048,Kumar Construction Pvt Ltd,"136 Main Road, Sector 30",SBI4659620048,Anita Menon,2012,False,
CTR0049,Iyer Construction Pvt Ltd,"162 Main Road, Sector 15",SBI9742440049,Shalini Mishra,2014,False,
CTR0050,Gupta Projects Pvt Ltd,"9 Main Road, Sector 22",SBI9567950050,Shalini Nair,2008,False,
CTR0051,Menon Builders Pvt Ltd,"271 Main Road, Sector 4",SBI2122350051,Rekha Kumar,2009,False,
CTR0052,Nair Construction Pvt Ltd,"620 Main Road, Sector 7",SBI8524700052,Manoj Kumar,2020,False,
CTR0053,Nair Infra Pvt Ltd,"95 Main Road, Sector 21",SBI5441510053,Manoj Sharma,2005,False,
CTR0054,Iyer Builders Pvt Ltd,"653 Main Road, Sector 9",SBI2694300054,Rekha Yadav,2022,False,
CTR0055,Mishra Enterprises Pvt Ltd,"575 Main Road, Sector 1",SBI2173080055,Prakash Menon,2009,False,
CTR0056,Kumar Infra Pvt Ltd,"855 Main Road, Sector 12",SBI7108050056,Pooja Patel,2006,False,
CTR0057,Nair Construction Pvt Ltd,"921 Main Road, Sector 30",SBI9347940057,Suresh Menon,2016,False,
CTR0058,Reddy Builders Pvt Ltd,"683 Main Road, Sector 4",SBI4708580058,Dinesh Kumar,2018,False,
CTR0059,Gupta Builders Pvt Ltd,"948 Main Road, Sector 30",SBI3482370059,Sunita Chauhan,2010,False,
CTR0060,Menon Enterprises Pvt Ltd,"26 Main Road, Sector 6",SBI8723430060,Arvind Chauhan,2018,False,
CTR0061,Chauhan Builders Pvt Ltd,"274 Main Road, Sector 6",SBI9256220061,Prakash Verma,2017,False,
CTR0062,Joshi Infra Pvt Ltd,"880 Main Road, Sector 16",SBI3332380062,Rajesh Joshi,2019,False,
CTR0063,Iyer Construction Pvt Ltd,"841 Main Road, Sector 26",SBI3386510063,Lakshmi Reddy,2017,False,
CTR0064,Iyer Construction Pvt Ltd,"886 Main Road, Sector 3",SBI9108910064,Manoj Iyer,2021,False,
CTR0065,Singh Projects Pvt Ltd,"340 Main Road, Sector 1",SBI2209440065,Manoj Patel,2023,False,
CTR0066,Nair Infra Pvt Ltd,"112 Main Road, Sector 20",SBI5556730066,Neha Mishra,2015,False,
CTR0067,Singh Projects Pvt Ltd,"524 Main Road, Sector 4",SBI5039060067,Ravi Reddy,2013,False,
CTR0068,Sharma Enterprises Pvt Ltd,"2 Main Road, Sector 17",SBI9456870068,Shalini Rao,2011,False,
CTR0069,Iyer Enterprises Pvt Ltd,"72 Main Road, Sector 22",SBI4462390069,Geeta Iyer,2008,False,
CTR0070,Mishra Construction Pvt Ltd,"520 Main Road, Sector 10",SBI7992870070,Pooja Iyer,2017,False,
CTR0071,Mishra Construction Pvt Ltd,"568 Main Road, Sector 5",SBI3011580071,Pooja Rao,2017,False,
CTR0072,Rao Builders Pvt Ltd,"631 Main Road, Sector 19",SBI4155680072,Sanjay Kumar,2005,False,
CTR0073,Nair Construction Pvt Ltd,"216 Main Road, Sector 14",SBI9239270073,Ravi Gupta,2015,False,
CTR0074,Yadav Enterprises Pvt Ltd,"453 Main Road, Sector 22",SBI3240820074,Rekha Patel,2007,False,
CTR0075,Nair Projects Pvt Ltd,"680 Main Road, Sector 21",SBI7493420075,Dinesh Reddy,2014,False,
CTR0076,Reddy Builders Pvt Ltd,"151 Main Road, Sector 1",SBI1484580076,Kavita Yadav,2007,False,
CTR0077,Yadav Enterprises Pvt Ltd,"908 Main Road, Sector 21",SBI7036340077,Rajesh Mishra,2017,False,
CTR0078,Yadav Enterprises Pvt Ltd,"250 Main Road, Sector 5",SBI7879260078,Prakash Sharma,2008,False,
CTR0079,Chauhan Enterprises Pvt Ltd,"225 Main Road, Sector 6",SBI9431700079,Prakash Kumar,2019,False,
CTR0080,Sharma Projects Pvt Ltd,"256 Main Road, Sector 30",SBI9895450080,Priya Yadav,2009,False,
CTR0081,Chauhan Enterprises Pvt Ltd,"684 Main Road, Sector 17",SBI6860750081,Dinesh Menon,2019,False,
CTR0082,Gupta Projects Pvt Ltd,"437 Main Road, Sector 27",SBI6744850082,Ashok Menon,2010,False,
CTR0083,Mishra Enterprises Pvt Ltd,"461 Main Road, Sector 9",SBI8882950083,Kavita Joshi,2013,False,
CTR0084,Chauhan Projects Pvt Ltd,"497 Main Road, Sector 21",SBI3508670084,Manoj Yadav,2007,False,
CTR0085,Mishra Construction Pvt Ltd,"241 Main Road, Sector 9",SBI4521610085,Arvind Menon,2022,False,
CTR0086,Verma Builders Pvt Ltd,"155 Main Road, Sector 8",SBI5016410086,Prakash Patel,2011,False,
CTR0087,Verma Enterprises Pvt Ltd,"418 Main Road, Sector 11",SBI6689690087,Ashok Singh,2006,False,
CTR0088,Reddy Enterprises Pvt Ltd,"399 Main Road, Sector 29",SBI9071890088,Ravi Mishra,2005,False,
CTR0089,Joshi Projects Pvt Ltd,"390 Main Road, Sector 16",SBI1061820089,Neha Nair,2017,False,
CTR0090,Joshi Enterprises Pvt Ltd,"552 Main Road, Sector 24",SBI8703190090,Shalini Chauhan,2012,False,
CTR0091,Yadav Builders Pvt Ltd,"280 Main Road, Sector 14",SBI6092320091,Ramesh Singh,2015,False,
CTR0092,Rao Enterprises Pvt Ltd,"742 Main Road, Sector 6",SBI9813340092,Vikram Gupta,2022,False,
CTR0093,Sharma Enterprises Pvt Ltd,"607 Main Road, Sector 19",SBI7952050093,Ramesh Verma,2018,False,
CTR0094,Patel Enterprises Pvt Ltd,"187 Main Road, Sector 2",SBI3727930094,Sanjay Iyer,2011,False,
CTR0095,Yadav Construction Pvt Ltd,"346 Main Road, Sector 25",SBI4975420095,Manoj Chauhan,2018,False,
CTR0096,Nair Infra Pvt Ltd,"482 Main Road, Sector 1",SBI8854080096,Shalini Sharma,2016,False,
CTR0097,Reddy Infra Pvt Ltd,"800 Main Road, Sector 21",SBI1422130097,Dinesh Sharma,2012,False,
CTR0098,Reddy Infra Pvt Ltd,"637 Main Road, Sector 5",SBI3501320098,Vikram Yadav,2008,False,
CTR0099,Gupta Builders Pvt Ltd,"477 Main Road, Sector 23",SBI3686900099,Dinesh Iyer,2010,False,
CTR0100,Gupta Projects Pvt Ltd,"987 Main Road, Sector 24",SBI8532520100,Priya Chauhan,2010,False,
CTR0101,Nair Infra Pvt Ltd,"593 Main Road, Sector 1",SBI4271100101,Ravi Rao,2017,False,
CTR0102,Singh Builders Pvt Ltd,"78 Main Road, Sector 19",SBI8241610102,Naresh Reddy,2008,False,
CTR0103,Mishra Construction Pvt Ltd,"871 Main Road, Sector 22",SBI7295770103,Ravi Chauhan,2006,False,
CTR0104,Iyer Projects Pvt Ltd,"439 Main Road, Sector 22",SBI4885710104,Naresh Iyer,2005,False,
CTR0105,Joshi Enterprises Pvt Ltd,"843 Main Road, Sector 16",SBI2106650105,Naresh Menon,2019,False,
CTR0106,Mishra Builders Pvt Ltd,"446 Main Road, Sector 6",SBI8694400106,Vijay Rao,2013,False,
CTR0107,Gupta Projects Pvt Ltd,"794 Main Road, Sector 16",SBI5874550107,Pooja Joshi,2023,False,
CTR0108,Nair Construction Pvt Ltd,"873 Main Road, Sector 8",SBI9710840108,Anita Nair,2019,False,
CTR0109,Reddy Enterprises Pvt Ltd,"584 Main Road, Sector 20",SBI8006460109,Ramesh Yadav,2015,False,
CTR0110,Patel Enterprises Pvt Ltd,"218 Main Road, Sector 12",SBI9365870110,Manoj Menon,2013,False,
CTR0111,Kumar Infra Pvt Ltd,"530 Main Road, Sector 7",SBI1897710111,Kavita Mishra,2018,False,
CTR0112,Yadav Projects Pvt Ltd,"777 Main Road, Sector 8",SBI5992190112,Naresh Mishra,2020,False,
CTR0113,Yadav Infra Pvt Ltd,"96 Main Road, Sector 10",SBI3323600113,Sanjay Mishra,2012,False,
CTR0114,Nair Projects Pvt Ltd,"378 Main Road, Sector 16",SBI6803580114,Vijay Iyer,2018,False,
CTR0115,Mishra Projects Pvt Ltd,"339 Main Road, Sector 12",SBI8369960115,Deepa Nair,2012,False,
CTR0116,Verma Builders Pvt Ltd,"324 Main Road, Sector 4",SBI8789670116,Rajesh Reddy,2020,False,
CTR0117,Nair Projects Pvt Ltd,"779 Main Road, Sector 17",SBI7257800117,Deepa Verma,2011,False,
CTR0118,Nair Builders Pvt Ltd,"370 Main Road, Sector 6",SBI4169500118,Ramesh Mishra,2022,False,
CTR0119,Patel Construction Pvt Ltd,"47 Main Road, Sector 2",SBI6802380119,Deepa Mishra,2009,False,
CTR0120,Rao Enterprises Pvt Ltd,"106 Main Road, Sector 28",SBI1128610120,Ravi Nair,2020,False,
